,0,1,2,3,4,5,6,7,8,9,10,11,12
255,232,"Ross Comis, QB",UMASS,15,21,71.4,171,8.1,45,2,0,3,171.3
256,233,"Zander Diamont, QB",IND,15,31,48.4,166,5.4,28,0,0,3,93.4
257,234,"Connor Mitch, QB",SC,13,29,44.8,165,5.7,27,1,0,2,104.0
258,235,"Chase Forrest, QB",CAL,10,18,55.6,162,9.0,63,1,1,1,138.4
259,236,"Chayce Crouch, QB",ILL,15,34,44.1,160,4.7,27,2,1,2,97.2
260,,"Dontreal Pruitt, QB",TROY,20,31,64.5,160,5.2,22,0,2,6,95.0
261,238,"Ford Childress, QB",WVU,19,34,55.9,159,4.7,29,2,2,2,102.8
262,239,"Devin Powell, QB",TULN,16,36,44.4,157,4.4,28,1,0,1,90.2
263,,"Tra'Von Chapman, QB",AKR,10,35,28.6,157,4.5,53,1,1,4,70.0
264,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
265,241,"Foster Sawyer, QB",TCU,10,26,38.5,155,6.0,44,2,3,3,90.9
266,242,"Faton Bauta, QB",UGA,15,33,45.5,154,4.7,29,0,4,1,60.4
267,,"Tom Flacco, QB",WMU,9,11,81.8,154,14.0,64,1,0,0,229.4
268,244,"Nate Romine, QB",AFA,7,18,38.9,143,7.9,36,2,1,0,131.2
269,245,"Chris Carter, QB",ARMY,4,6,66.7,140,23.3,65,1,1,1,284.3
270,246,"Ryan Higgins, QB",LT,15,25,60.0,138,5.5,22,1,3,1,95.6
271,247,"Beau Hoge, QB",BYU,10,17,58.8,137,8.1,47,1,1,1,134.2
272,248,"Kyle Pohl, QB",AKR,11,27,40.7,135,5.0,42,0,0,1,82.7
273,249,"Tyler O'Connor, QB",MSU,13,24,54.2,133,5.5,36,2,1,2,119.9
274,250,"Trey Anderson, QB",FIU,5,20,25.0,132,6.6,79,1,0,1,96.9
275,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
276,,"Deondre Ford, QB",KU,11,23,47.8,132,5.7,33,0,1,2,87.3
277,252,"Adam Schulz, QB",HOU,7,13,53.8,129,9.9,49,0,0,0,137.2
278,253,"Jalen Greene, WR",USC,3,4,75.0,127,31.8,75,1,0,0,424.2
279,254,"William Crest Jr., QB",WVU,11,25,44.0,124,5.0,45,0,1,1,77.7
280,,"K.J. Carta-Samuels, QB",WASH,10,24,41.7,124,5.2,33,0,1,2,76.7
281,256,"Jordan Gehrke, QB",COLO,12,24,50.0,116,4.8,23,1,1,4,96.0
282,257,"Daxx Garman, QB",MD,6,18,33.3,115,6.4,46,1,1,5,94.2
283,258,"Thomas Stuart, QB",BSU,12,18,66.7,114,6.3,37,1,0,5,138.2
284,259,"Max Browne, QB",USC,8,12,66.7,113,9.4,35,0,0,0,145.8
285,260,"Chad Voytik, QB",PITT,16,24,66.7,112,4.7,55,1,1,4,111.3
286,RK,PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RAT
287,,"Tyler Matthews, QB",USM,5,7,71.4,112,16.0,47,1,0,1,253.0
288,262,"JP Caruso, QB",APP,8,12,66.7,109,9.1,37,2,0,0,198.0
289,263,"Dallas Davis, QB",USA,11,23,47.8,108,4.7,40,1,1,8,92.9
